english,french
I’m thinking of buying a new bicycle.,Nous devrions aller dans un nouveau spa le mois prochain.
She is preparing for an upcoming exam.,Je prévois d'essayer une nouvelle routine d'entraînement.
We should go on a weekend road trip to the desert.,Elle suit un cours en ligne de photographie.
I’m planning to try a new craft this fall.,Nous devrions visiter un nouveau restaurant en ville.
She is working on a home organization project.,Je pense acheter un nouveau vélo.
We should go to a new nightclub this weekend.,Elle se prépare pour un examen à venir.
I’m learning how to play the piano.,Nous devrions partir en week-end en voiture dans le désert.
She is working on a new startup idea.,Je prévois d'essayer un nouveau passe-temps cet automne.
We should visit a new park this weekend.,Elle travaille sur un projet d'organisation de la maison.
I’m planning a visit to a national park next year.,Nous devrions aller dans une nouvelle boîte de nuit ce week-end.
She is taking a course in public speaking.,J'apprends à jouer du piano.
We should go on a road trip together this summer.,Elle travaille sur une nouvelle idée de startup.
I’m thinking of starting a new hobby this year.,Nous devrions visiter un nouveau parc ce week-end.
She is planning a surprise birthday party for her friend.,Je prévois de visiter un parc national l'année prochaine.
We should go to a new beach next weekend.,Elle suit un cours de prise de parole en public.
I’m learning how to make my own clothes.,Nous devrions partir en road trip ensemble cet été.
She is preparing for an art exhibition.,Je pense commencer un nouveau passe-temps cette année.
We should visit a new city next holiday.,Elle prévoit une fête surprise pour l'anniversaire de son amie.
I’m planning to join a new gym this month.,Nous devrions aller dans une nouvelle plage le week-end prochain.
She is working on a new branding project.,J'apprends à fabriquer mes propres vêtements.
I’m planning to visit a new city next month.,Elle se prépare pour une exposition d'art.
She is working on a new marketing strategy.,Nous devrions visiter une nouvelle ville pendant les vacances.
We should try a new hiking trail this weekend.,Je prévois de rejoindre une nouvelle salle de sport ce mois-ci.
I’m thinking of taking a yoga class.,Elle travaille sur un nouveau projet de branding.
She is learning how to bake cakes.,Je prévois de visiter une nouvelle ville le mois prochain.
We should go to a new beach resort this summer.,Elle travaille sur une nouvelle stratégie marketing.
I’m taking an online course in graphic design.,Nous devrions essayer un nouveau sentier de randonnée ce week-end.
She is starting a new fitness challenge.,Je pense suivre un cours de yoga.
We should visit a new city on our vacation next year.,Elle apprend à faire des gâteaux.
I’m planning to join a cooking competition.,Nous devrions aller dans une nouvelle station balnéaire cet été.
She is organizing a charity event this year.,Je suis un cours en ligne de design graphique.
We should go to a new spa for relaxation.,Elle commence un nouveau défi de fitness.
I’m planning to renovate my kitchen next month.,Nous devrions visiter une nouvelle ville pendant nos vacances l'année prochaine.
She is preparing for an international conference.,Je prévois de participer à une compétition de cuisine.
We should go on a cultural tour this summer.,Elle organise un événement caritatif cette année.
I’m learning how to dance salsa.,Nous devrions aller dans un nouveau spa pour nous détendre.
She is launching a new fashion brand.,Je prévois de rénover ma cuisine le mois prochain.
We should try a new restaurant this weekend.,Elle se prépare pour une conférence internationale.
I’m taking a pottery class this fall.,Nous devrions partir en visite culturelle cet été.
She is preparing for a marathon race.,J'apprends à danser la salsa.
We should visit a new museum next holiday.,Elle lance une nouvelle marque de mode.
I’m learning to speak Spanish.,Nous devrions essayer un nouveau restaurant ce week-end.
She is working on a new mobile app.,Je suis un cours de poterie cet automne.
We should try a new cooking recipe tonight.,Elle se prépare pour une course de marathon.
I’m planning a weekend getaway to a countryside resort.,Nous devrions visiter un nouveau musée pendant les vacances.
She is working on a photography project.,J'apprends à parler espagnol.
We should go to a new comedy show this weekend.,Elle travaille sur une nouvelle application mobile.
I’m learning to play the violin.,Nous devrions essayer une nouvelle recette de cuisine ce soir.
She is organizing a book club for the community.,Je prévois une escapade de week-end dans un complexe à la campagne.
We should go to a new live concert this year.,Elle travaille sur un projet de photographie.
I’m planning a surprise party for my friend.,Nous devrions aller à un nouveau spectacle de comédie ce week-end.
She is working on a new painting.,J'apprends à jouer du violon.
We should try a new type of coffee next time.,Elle organise un club de lecture pour la communauté.
I’m taking a photography course to improve my skills.,Nous devrions aller à un nouveau concert en direct cette année.
She is starting a new podcast.,Je prévois une fête surprise pour mon amie.
We should go for a picnic at the park this weekend.,Elle travaille sur une nouvelle peinture.
I’m planning to visit a vineyard next month.,Nous devrions essayer un nouveau type de café la prochaine fois.
She is taking an advanced cooking class.,Je suis un cours de photographie pour améliorer mes compétences.
We should explore a new city this winter.,Elle commence un nouveau podcast.
I’m thinking of getting a new pet.,Nous devrions aller pique-niquer au parc ce week-end.
She is participating in a writing competition.,Je prévois de visiter un vignoble le mois prochain.
We should go to a new theme park this summer.,Elle suit un cours de cuisine avancé.
I’m learning to bake bread.,Nous devrions explorer une nouvelle ville cet hiver.
She is planning to start a travel blog.,Je pense adopter un nouvel animal de compagnie.
We should go to a new café in town.,Elle participe à un concours d'écriture.
I’m taking a digital marketing course.,Nous devrions aller dans un nouveau parc d'attractions cet été.
She is starting a new interior design project.,J'apprends à faire du pain.
We should go on a weekend road trip to the mountains.,Elle prévoit de commencer un blog de voyage.
I’m planning a visit to a new art gallery this weekend.,Nous devrions aller dans un nouveau café en ville.
She is taking a course in entrepreneurship.,Je suis un cours de marketing digital.
We should try a new recipe for dinner tonight.,Elle commence un nouveau projet de décoration intérieure.
I’m planning a trip to the beach next summer.,Nous devrions partir en road trip le week-end dans les montagnes.
